id;bpp;bps;bytes;date_first_seen;dst_ip;duration;flags;flows;packet_no;pps;protocol;src_ip;time_first_seen;tos
1;1374;7.9M;98967;2022-05-02;10.0.0.1:9000;0.10;........;1;72;720;UDP;10.0.0.254:50487;21:45:39;0
2;1374;7.5M;98967;2022-05-02;10.0.0.1:9000;0.11;........;1;72;679;UDP;10.0.0.254:50487;21:42:24;0
3;1374;6.9M;98967;2022-05-02;10.0.0.1:9000;0.11;........;1;72;631;UDP;10.0.0.254:50487;21:56:24;0
4;1374;6.7M;98967;2022-05-02;10.0.0.1:9000;0.12;........;1;72;610;UDP;10.0.0.254:50487;21:31:55;0
5;1374;6.7M;98967;2022-05-02;10.0.0.1:9000;0.12;........;1;72;610;UDP;10.0.0.254:50487;21:52:55;0
6;1374;5.9M;997700;2022-05-02;10.0.0.1:39471;1.36;........;1;726;533;UDP;173.194.128.9:443;21:11:16;0
7;1301;5.7M;128845;2022-05-02;10.0.0.1:9000;0.18;........;1;99;543;UDP;10.0.0.254:50487;21:46:01;0
8;1373;5.6M;86520;2022-05-02;10.0.0.1:9000;0.12;........;1;63;508;UDP;10.0.0.254:50487;21:23:56;0
9;1299;5.5M;128679;2022-05-02;10.0.0.1:9000;0.19;........;1;99;532;UDP;10.0.0.254:50487;21:41:00;0
10;1371;5.3M;987330;2022-05-02;10.0.0.1:57846;1.49;........;1;720;484;UDP;173.194.128.9:443;21:27:03;0
11;1376;5.2M;1.1M;2022-05-02;10.0.0.1:37761;1.66;........;1;782;471;UDP;197.226.227.80:443;21:15:05;0
12;1378;5.2M;1.1M;2022-05-02;10.0.0.1:56884;1.67;........;1;784;470;UDP;197.226.227.80:443;21:03:40;0
13;1375;5.2M;1.0M;2022-05-02;10.0.0.1:56884;1.59;........;1;746;470;UDP;197.226.227.80:443;21:05:16;0
14;1376;5.1M;996398;2022-05-02;10.0.0.1:37761;1.55;........;1;724;467;UDP;197.226.227.80:443;21:16:10;0
15;1380;5.1M;1.1M;2022-05-02;10.0.0.1:60529;1.75;........;1;804;459;UDP;173.194.128.9:443;21:00:40;0
16;1380;5.1M;1.1M;2022-05-02;10.0.0.1:57846;1.66;........;1;764;459;UDP;173.194.128.9:443;21:28:33;0
17;1374;5.1M;1.1M;2022-05-02;10.0.0.1:39471;1.77;........;1;816;461;UDP;173.194.128.9:443;21:08:13;0
18;1366;4.9M;1.1M;2022-05-02;10.0.0.1:56884;1.83;........;1;826;452;UDP;197.226.227.80:443;21:06:15;0
19;1348;4.9M;579954;2022-05-02;10.0.0.1:46793;0.94;........;1;430;455;UDP;197.226.227.80:443;21:06:43;0
20;1381;4.9M;5.2M;2022-05-02;10.0.0.1:39471;8.52;........;1;3786;444;UDP;173.194.128.9:443;21:11:35;0
21;1374;4.9M;98967;2022-05-02;10.0.0.1:9000;0.16;........;1;72;444;UDP;10.0.0.254:50487;21:48:47;0
22;1381;4.9M;5.3M;2022-05-02;10.0.0.1:37761;8.79;........;1;3864;439;UDP;197.226.227.80:443;21:14:30;0
23;1379;4.8M;5.0M;2022-05-02;10.0.0.1:57846;8.20;........;1;3600;438;UDP;173.194.128.9:443;21:28:00;0
24;1381;4.8M;5.1M;2022-05-02;10.0.0.1:39471;8.41;........;1;3685;437;UDP;173.194.128.9:443;21:08:39;0
25;1377;4.8M;5.4M;2022-05-02;10.0.0.1:56884;8.92;........;1;3914;438;UDP;197.226.227.80:443;21:04:44;0
26;1380;4.8M;5.4M;2022-05-02;10.0.0.1:57846;8.91;........;1;3894;437;UDP;173.194.128.9:443;21:27:26;0
27;1382;4.8M;4.8M;2022-05-02;10.0.0.1:37761;8.05;........;1;3506;435;UDP;197.226.227.80:443;21:18:43;0
28;1380;4.8M;4.4M;2022-05-02;10.0.0.1:37761;7.36;........;1;3210;435;UDP;197.226.227.80:443;21:19:10;0
29;1378;4.8M;5.1M;2022-05-02;10.0.0.1:37761;8.47;........;1;3682;434;UDP;197.226.227.80:443;21:16:42;0
30;1380;4.8M;5.4M;2022-05-02;10.0.0.1:39471;9.03;........;1;3902;431;UDP;173.194.128.9:443;21:10:44;0
31;1379;3.9M;6.5M;2022-05-02;10.0.0.1:60529;13.32;........;1;4736;355;UDP;173.194.128.9:443;21:00:04;0
32;1381;3.9M;4.9M;2022-05-02;10.0.0.1:44258;9.96;........;1;3518;353;UDP;173.194.128.9:443;21:24:39;0
33;1374;3.8M;27.8M;2022-05-02;10.0.0.1:60132;57.78;........;1;20226;350;UDP;173.194.128.9:443;21:30:47;0
34;1379;3.6M;11.0M;2022-05-02;10.0.0.1:44258;24.24;........;1;7968;328;UDP;173.194.128.9:443;21:23:51;0
35;1380;3.5M;5.1M;2022-05-02;10.0.0.1:56884;11.70;........;1;3680;314;UDP;197.226.227.80:443;21:01:01;0
36;1379;3.4M;4.9M;2022-05-02;10.0.0.1:37761;11.61;........;1;3542;304;UDP;197.226.227.80:443;21:18:04;0
37;1382;3.2M;5.3M;2022-05-02;10.0.0.1:56884;12.94;........;1;3800;293;UDP;197.226.227.80:443;21:05:46;0
38;1381;3.2M;5.3M;2022-05-02;10.0.0.1:56884;13.20;........;1;3850;291;UDP;197.226.227.80:443;21:03:10;0
