id;port;is_tcp;is_udp;is_sctp;description;name
1;29732;Wooden Intelligent;heuristic Internal;incentivize multi-byte content-based;white Handcrafted;withdrawal virtual Implementation
2;34764;encoding circuit;sensor;navigating deposit HTTP;orchestrate Roads;Diverse
3;89294;Games;interface models;monitor invoice Savings;Personal Lane;Loan Legacy integrate
4;49325;Berkshire Islands XML;Market;structure groupware Checking;GB Metal;quantifying
5;40500;Refined Dalasi;Future;Investor Legacy Principal;Oklahoma;IB Orchestrator
6;35077;Mauritius;sky;indexing;Chicken generate;Buckinghamshire mobile Assurance
7;79305;Personal transitional;edge Cotton;International Home Awesome;Virginia Maryland index;Sports
8;71326;static Alaska;Gloves dot-com;virtual connecting;Books Usability red;AI payment Senior
9;79655;Program;Refined;dot-com;orange Libyan feed;lime benchmark
10;58663;AGP virtual SAS;Vista Honduras;encoding Island;Canadian value-added Engineer;SMS parse infomediaries
