id;date;time;trap;jhi_values;jhi_trigger
1;2022-07-16;support;Chief Cambridgeshire;Fresh;Supervisor Ergonomic capacitor
2;2022-07-15;e-business Director unleash;Creek;Loan;Profound Zambian
3;2022-07-16;Dinar Assurance Pines;Data of;Handmade navigating Sheqel;up networks
4;2022-07-15;dynamic strategic;bandwidth Baby;Garden;Industrial
5;2022-07-15;Georgia;real-time Fantastic Specialist;payment Account;streamline
6;2022-07-15;Shoes olive synthesizing;structure Interactions invoice;Applications system-worthy Associate;Compatible
7;2022-07-16;incubate Metrics;Electronics Frozen access;Ergonomic Research frictionless;Sports Rupiah Concrete
8;2022-07-16;Aruban;engineer;Palau Concrete Andorra;synthesize Cotton
9;2022-07-15;Shoes;Technician Bedfordshire Gambia;Cambridgeshire Uzbekistan SQL;Cedi Developer
10;2022-07-15;Slovenia bus;Rubber Ergonomic Sleek;Plastic;Investor
