Port,TCP,UDP,Description
0,Reserved,Reserved,In programming APIs (not in communication between hosts), requests a system-allocated (dynamic) port[6]
1,Yes,Assigned,TCP Port Service Multiplexer (TCPMUX). Historic. Both TCP and UDP have been assigned to TCPMUX by IANA,[2] but by design only TCP is specified.[7]
2,Assigned,Assigned,compressnet (Management Utility)
3,Assigned,Assigned,compressnet (Compression Process)
5,Assigned,Assigned,Remote Job Entry[8] was historically using socket 5 in its old socket form, while MIB PIM has identified it as TCP/5[9] and IANA has assigned both TCP and UDP 5 to it.
7,Yes,Yes,Echo Protocol[10][11]
9,Yes,Yes,Discard Protocol[13]
11,Yes,Yes,Active Users (systat service)[15][16]
13,Yes,Yes,Daytime Protocol[17]
15,Unofficial,No,Previously netstat service[2][15]
17,Yes,Yes,Quote of the Day (QOTD)[18]
18,Yes,Yes,Message Send Protocol[19][20]
19,Yes,Yes,Character Generator Protocol (CHARGEN)[21]
20,Yes,Assigned,File Transfer Protocol (FTP) data transfer[11]
21,Yes,Assigned,File Transfer Protocol (FTP) control (command)[11][12][22][23]
22,Yes,Assigned,Secure Shell (SSH),[11] secure logins, file transfers (scp, sftp) and port forwarding
23,Yes,Assigned,Telnet protocol—unencrypted text communications[11][24]
25,Yes,Assigned,Simple Mail Transfer Protocol (SMTP),[11][25] used for email routing between mail servers
27,Assigned,Assigned,NSW User System FE
28,Unofficial,,Palo Alto Networks' Panorama High Availability (HA) sync encrypted port.[26]
29,Assigned,Assigned,MSG ICP
31,Assigned,Assigned,MSG Authentication
33,Assigned,Assigned,Display Support Protocol
37,Yes,Yes,Time Protocol[27]
38,Assigned,Assigned,Route Access Protocol
39,Assigned,Assigned,Resource Location Protocol
41,Assigned,Assigned,Graphics
42,Assigned,Yes,Host Name Server Protocol[28]
43,Yes,Assigned,WHOIS protocol[29][30][31]
44,Assigned,Assigned,MPM FLAGS Protocol
45,Assigned,Assigned,MPM (recv)
46,Assigned,Assigned,MPM (default send)
47,Reserved,Reserved,
48,Assigned,Assigned,Digital Audit Daemon
49,Yes,Yes,TACACS Login Host protocol.[32] TACACS+, still in draft which is an improved but distinct version of TACACS, only uses TCP 49.[33]
50,Assigned,Assigned,Remote Mail Checking Protocol
51,Reserved,Reserved,Historically used for Interface Message Processor logical address management,[34] entry has been removed by IANA on 2013-05-25
52,Assigned,Assigned,Xerox Network Systems (XNS) Time Protocol. Despite this port being assigned by IANA, the service is meant to work on SPP (ancestor of IPX/SPX), instead of TCP/IP.[35]
53,Yes,Yes,Domain Name System (DNS)[36][11]
54,Assigned,Assigned,Xerox Network Systems (XNS) Clearinghouse (Name Server). Despite this port being assigned by IANA, the service is meant to work on SPP (ancestor of IPX/SPX), instead of TCP/IP.[35]
55,Assigned,Assigned,ISI Graphics Language
56,Assigned,Assigned,Xerox Network Systems (XNS) Authentication Protocol. Despite this port being assigned by IANA, the service is meant to work on SPP (ancestor of IPX/SPX), instead of TCP/IP.[35]
58,Assigned,Assigned,Xerox Network Systems (XNS) Mail. Despite this port being assigned by IANA, the service is meant to work on SPP (ancestor of IPX/SPX), instead of TCP/IP.[35]
61,Reserved,Reserved,Historically assigned to the NIFTP-Based Mail protocol,[37] but was never documented in the related IEN.[38] The port number entry was removed from IANA's registry on 2017-05-18.[2]
62,Assigned,Assigned,ACA Services
63,Assigned,Assigned,whois++
64,Assigned,Assigned,covia
65,Assigned,Assigned,TACACS-Database Service
66,Assigned,Assigned,Oracle SQL*NET
67,Assigned,Yes,Bootstrap Protocol (BOOTP) server;[11] also used by Dynamic Host Configuration Protocol (DHCP)
68,Assigned,Yes,Bootstrap Protocol (BOOTP) client;[11] also used by Dynamic Host Configuration Protocol (DHCP)
69,Assigned,Yes,Trivial File Transfer Protocol (TFTP)[11][39][40][41]
70,Yes,Assigned,Gopher protocol[42]
71–74,Yes,Yes,NETRJS protocol[43][44][45]
76,Assigned,Assigned,Distributed External Object Store
78,Assigned,Assigned,vettcp
79,Yes,Assigned,Finger protocol[11][46][47]
80,Yes,Yes,Hypertext Transfer Protocol (HTTP)[48][49] uses TCP in versions 1.x and 2. HTTP/3 uses QUIC,[50] a transport protocol on top of UDP.
81,Unofficial,,TorPark onion routing[verification needed]
82,,Unofficial,TorPark control[verification needed]
83,Yes,Assigned,MIT ML Device, networking file system[51]
84,Assigned,Assigned,Common Trace Facility
85,Assigned,Assigned,MIT ML Device
86,Assigned,Assigned,Micro Focus Cobol
88,Yes,Yes,Kerberos[11][52][53] authentication system
89,Assigned,Assigned,SU/MIT Telnet Gateway
90,Unofficial,Unofficial,PointCast (dotcom)[2]
91,Assigned,Assigned,MIT Dover Spooler
92,Assigned,Assigned,Network Printing Protocol
93,Assigned,Assigned,Device Control Protocol
94,Assigned,Assigned,Tivoli Object Dispatcher
95,Yes,Assigned,SUPDUP, terminal-independent remote login[54]
96,Assigned,Assigned,DIXIE Protocol
97,Assigned,Assigned,Swift Remote Virtual File Protocol
98,Assigned,Assigned,TAC News
99,Assigned,Assigned,Metagram Relay
101,Yes,Assigned,NIC host name[55]
102,Yes,Assigned,ISO Transport Service Access Point (TSAP) Class 0 protocol;[56][57]
103,Assigned,Assigned,Genesis Point-to-Point Trans Net
104,Yes,Yes,Digital Imaging and Communications in Medicine (DICOM; also port 11112)
105,Yes,Yes,CCSO Nameserver[58]
106,Unofficial,No,macOS Server, (macOS) password server[11]
107,Yes,Yes,Remote User Telnet Service (RTelnet)[59]
108,Yes,Yes,IBM Systems Network Architecture (SNA) gateway access server
109,Yes,Assigned,Post Office Protocol, version 2 (POP2)[60]
110,Yes,Assigned,Post Office Protocol, version 3 (POP3)[11][61][62]
111,Yes,Yes,Open Network Computing Remote Procedure Call (ONC RPC, sometimes referred to as Sun RPC)
112,Assigned,Assigned,McIDAS Data Transmission Protocol
113,Yes,No,Ident, authentication service/identification protocol,[11][63] used by IRC servers to identify users
115,Yes,Assigned,Simple File Transfer Protocol[65]
116,Assigned,Assigned,ANSA REX Notify
117,Yes,Yes,UUCP Mapping Project (path service)[citation needed]
118,Yes,Yes,Structured Query Language (SQL) Services[jargon]
119,Yes,Assigned,Network News Transfer Protocol (NNTP),[11] retrieval of newsgroup messages[66][67]
120,Assigned,Assigned,CFDPTKT
121,Assigned,Assigned,Encore Expedited Remote Pro.Call
122,Assigned,Assigned,SMAKYNET
123,Assigned,Yes,Network Time Protocol (NTP), used for time synchronization[11]
124,Assigned,Assigned,ANSA REX Trader
125,Assigned,Assigned,Locus PC-Interface Net Map Ser
126,Yes,Yes,Formerly Unisys Unitary Login, renamed by Unisys to NXEdit. Used by Unisys Programmer's Workbench for Clearpath MCP, an IDE for Unisys MCP software development
127,Assigned,Assigned,Locus PC-Interface Conn Server
128,Assigned,Assigned,GSS X License Verification
129,Assigned,Assigned,Password Generator Protocol
130,Assigned,Assigned,Cisco FNATIVE
131,Assigned,Assigned,Cisco TNATIVE
132,Assigned,Assigned,Cisco SYSMAINT
133,Assigned,Assigned,Statistics Service (statsrv)
134,Assigned,Assigned,INGRES-NET Service
135,Yes,Yes,DCE endpoint resolution
136,Assigned,Assigned,PROFILE Naming System
137,Yes,Yes,NetBIOS Name Service, used for name registration and resolution[69][70]
138,Assigned,Yes,NetBIOS Datagram Service[11][69][70]
139,Yes,Assigned,NetBIOS Session Service[69][70]
140,Assigned,Assigned,EMFIS Data Service
141,Assigned,Assigned,EMFIS Control Service
142,Assigned,Assigned,Britton-Lee IDM
143,Yes,Assigned,Internet Message Access Protocol (IMAP),[11] management of electronic mail messages on a server[71]
144,Assigned,Assigned,Universal Management Architecture
145,Assigned,Assigned,UAAC Protocol
146,Assigned,Assigned,ISO-IP0
147,Assigned,Assigned,ISO-IP
148,Assigned,Assigned,Jargon
149,Assigned,Assigned,AED 512 Emulation Service
150,Assigned,Assigned,SQL-NET
151,Assigned,Assigned,HEMS
152,Yes,Yes,Background File Transfer Program (BFTP)[72][importance?]
153,Yes,Yes,Simple Gateway Monitoring Protocol (SGMP), a protocol for remote inspection and alteration of gateway management information[73]
154,Assigned,Assigned,netsc-prod
